asset_tag,erp_asset_code,name,maintenance_category,asset_kind,serial_number,size,model,manufacturer_code,fa_subclass_code,operational_status,maintenance_status
L-MTR-578-1007,FA000030,"5 7/8"" Straight Sleeve Stabilizer",MOTOR,asset,WZL-0231-007,"5 7/8""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-RTR-634-0032,FA000031,"6 3/4"" MOTOR ASSEMBLY M7",MOTOR,component,M7-675-0032,"6 3/4""",,V0043,MUD MOTOR,ready_for_field,enrolled
L-JAR-434-0079,FA000032,"4 3/4"" HYDRA-MECH DOUBLE ACTING JAR",JAR,asset,HMDA47-0079,"4 3/4""",,V0043,JARS,ready_for_field,enrolled
L-JAR-434-0080,FA000033,"4 3/4"" HYDRA-MECH DOUBLE ACTING JAR",JAR,asset,HMDA47-0080,"4 3/4""",,V0043,JARS,ready_for_field,enrolled
L-JAR-612-0034,FA000034,"6 1/2"" HYDRA-MECH DOUBLE ACTING JAR",JAR,asset,HMDA650-0034,"6 1/2""",,V0043,JARS,ready_for_field,enrolled
L-JAR-612-0035,FA000035,"6 1/2"" HYDRA-MECH DOUBLE ACTING JAR",JAR,asset,HMDA650-0035,"6 1/2""",,V0043,JARS,ready_for_field,enrolled
L-JAR-800-0035,FA000036,"8"" HYDRA-MECH JAR DOUBLE ACTING JAR",JAR,asset,HMDA800-0035,"8""",,V0043,JARS,ready_for_field,enrolled
L-JAR-800-0036,FA000037,"8"" HYDRA-MECH JAR DOUBLE ACTING JAR",JAR,asset,HMDA800-0036,"8""",,V0043,JARS,ready_for_field,enrolled
L-STR-000-6191,FA000038,"6 3/4"" STATOR S675785.0-1OS-NBR HPW (51059)",MOTOR,component,4-C41619-1,"6 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-6192,FA000039,"6 3/4"" STATOR S675785.0-1OS-NBR HPW (51277)",MOTOR,component,4-C41619-2,"6 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-1647,FA000040,"6 3/4"" ROTOR R675785.0-SLD-1.375-6 SA:WC",MOTOR,component,4-B01647,"6 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-1645,FA000041,"9 5/8"" ROTOR R962785.7-SLD-2.125 SA:WC",MOTOR,component,4-B01645,"9 5/8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-6194,FA000042,"8"" STATOR S800784.0-STD-NBR HPW (W3863)",MOTOR,component,4-C41619-4,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-1667,FA000043,"8"" ROTOR R800784.0-SLD-2.125-6 SA:WC",MOTOR,component,4-B01667,"8""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-6196,FA000044,"4 3/4"" STATOR S475783.8-1.5OS-NBR HPW (A120968)",MOTOR,component,4-C41619-6,"4 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-STR-000-6197,FA000045,"4 3/4"" STATOR S475783.8-1.5OS-NBR HPW (A120968)",MOTOR,component,4-C41619-7,"4 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-1664,FA000046,"4 3/4"" ROTOR R475783.8-SLD-1.375-6SA:WC-3.13HD",MOTOR,component,4-B01664,"4 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-RTR-000-1665,FA000047,"4 3/4"" ROTOR R475783.8-SLD-1.375-6SA:WC-3.13HD",MOTOR,component,4-B01665,"4 3/4""",,V00050,MUD MOTOR,ready_for_field,enrolled
L-MWD-000-2447,FA000048,"Pulser Assy, Fixed 4.125in Valve (Std Flow) 20Kpsi, 4 Blades, MC, FJn Centralizer APS",MWD / APS,asset,SN 2447,"4 1/8""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-2791,FA000049,"Pulser Assy, Fixed 4.125in Valve (Std Flow) 20Kpsi, 4 Blades, MC, FJn Centralizer",MWD / APS,asset,SN 2791,"4 1/8""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-2766,FA000050,"Pulser Assy, Fixed 5.25in Valve (Std Flow) 150°C, 20Kpsi, 4 Blades, G4.2, Flow MC, Fm Centralizer",MWD / APS,asset,SN 2766,"5 1/4""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-2546,FA000051,"Pulser Assy, Fixed 5.25in Valve (Std Flow) 150°C, 20Kpsi, 4 Blades, G4.2, Flow MC, Fm Centralizer",MWD / APS,asset,SN 2546,"5 1/4""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-4155,FA000052,BATTERY MODULE ASSY (NO BATTERY INSTALLED)-NITRONIC 50,MWD / APS,asset,SN 4155,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-4297,FA000053,BATTERY MODULE ASSY (NO BATTERY INSTALLED)-NITRONIC 50,MWD / APS,asset,SN 4297,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-2631,FA000054,BATTERY MODULE ASSY (NO BATTERY INSTALLED)-NITRONIC 50,MWD / APS,asset,SN 2631,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-4317,FA000055,BATTERY MODULE ASSY (NO BATTERY INSTALLED)-NITRONIC 50,MWD / APS,asset,SN 4317,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-4335,FA000056,BATTERY MODULE ASSY (NO BATTERY INSTALLED)-NITRONIC 50,MWD / APS,asset,SN 4335,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-4343,FA000057,BATTERY MODULE ASSY (NO BATTERY INSTALLED)-NITRONIC 50,MWD / APS,asset,SN 4343,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0640,FA000058,"SENSOR ASSY. DIRECTIONAL, RINC AND VMM ENABLED, FIN CENTRALIZER READY, 150°C, 20KPSI",MWD / APS,asset,SN 640,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-1818,FA000059,"SENSOR ASSY. DIRECTIONAL, RINC AND VMM ENABLED, FIN CENTRALIZER READY, 150°C, 20KPSI",MWD / APS,asset,SN 1818,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-1798,FA000060,"SENSOR ASSY. DIRECTIONAL, RINC AND VMM ENABLED, FIN CENTRALIZER READY, 150°C, 20KPSI",MWD / APS,asset,SN 1798,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-1049,FA000061,"GAMMA MODULE ASSY, 6 WIRE- FIN CTRLZR READY, 150°C, 20KPSI",MWD / APS,asset,SN 1049,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0370,FA000062,"GAMMA MODULE ASSY, 6 WIRE- FIN CTRLZR READY, 150°C, 20KPSI",MWD / APS,asset,SN 370,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-1150,FA000063,"GAMMA MODULE ASSY, 6 WIRE- FIN CTRLZR READY, 150°C, 20KPSI",MWD / APS,asset,SN 1150,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-112-1082,FA000064,"SURE-SHOT LITE, SIU2, WITH DTS, 1.0-1.5"" DRILL LINE",MWD / APS,asset,SN 1082,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-112-1219,FA000065,"SURE-SHOT LITE, SIU2, WITH DTS, 1.0-1.5"" DRILL LINE",MWD / APS,asset,SN 1219,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-112-1220,FA000066,"SURE-SHOT LITE, SIU2, WITH DTS, 1.0-1.5"" DRILL LINE",MWD / APS,asset,SN 1220,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0036,FA000067,"KIT, LAVERSAB RFD - WIRELESS",MWD / APS,asset,SN 36,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0185,FA000068,"KIT, LAVERSAB RFD - WIRELESS",MWD / APS,asset,SN 185,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0187,FA000069,"KIT, LAVERSAB RFD - WIRELESS",MWD / APS,asset,SN 187,,,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-3402,FA000075,"4 3/4"" SUB FLOW, 4.75 01), .344 FIXED MT, NC38 B/P, 42 00in LG SST/SPEC 10020; SN 43324 03",SUB FLOW / MWD,asset,374934-02,"4 3/4""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-8581,FA000076,"6 3/4"" SUB FLOW, 6.75 OD-SST/SPEC-10020 (P530 OR EQUIV)",SUB FLOW / MWD,asset,380858-1,"6 3/4""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-8582,FA000077,"6 3/4"" SUB FLOW, 6.75 OD-SST/SPEC-10020 (P530 OR EQUIV)",SUB FLOW / MWD,asset,380858-2,"6 3/4""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-1903,FA000078,"8"" SUB FLOW, 8.00 OD, 3 50 ID, 42 LG, 6-5/8 REG B/P - SST/APS SPEC-10020 (P530 OREQUIV)",SUB FLOW / MWD,asset,375190-3,"8""",,V0049,MWD/LWD,ready_for_field,enrolled
L-MWD-000-1904,FA000079,"8"" SUB FLOW, 8.00 OD, 3 50 ID, 42 LG, 6-5/8 REG B/P - SST/APS SPEC-10020 (P530 OREQUIV)",SUB FLOW / MWD,asset,375190-4,"8""",,V0049,MWD/LWD,ready_for_field,enrolled
L-NMD-400-0965,FA000080,"4 3/4"" NMDC - 2 11/16"" ID",NMDC,asset,SBM P0965,"4 3/4""",,V00570,NMDC,ready_for_field,enrolled
L-NMD-800-2911,FA000081,"8"" NMDC - 3 1/2"" ID",NMDC,asset,SBM P2911,"8""",,V00570,NMDC,ready_for_field,enrolled
L-NMD-800-3551,FA000082,"8"" NMDC, 3 1/2"" ID",NMDC,asset,SBM P3551,"8""",,V00570,NMDC,ready_for_field,enrolled
L-NMD-200-6213,FA000083,"9 1/2"" NMDC - 4"" ID",NMDC,asset,SBM P6213,"9 1/2""",,V00570,NMDC,ready_for_field,enrolled
L-WRL-114-9050,FA000084,"QUANTUM 1.25"" MEMORY PIEZO GAUGE P/T 150C 0-10, 000 PSI",SLICKLINE,asset,S9050,"1 1/4""",,V00580,WIRELINE,ready_for_field,enrolled
L-WRL-114-1501,FA000085,"QUANTUM 1.25"" MEMORY PIEZO GAUGE P/T 150C 0-10, 000 PSI",SLICKLINE,asset,S91501,"1 1/4""",,V00580,WIRELINE,ready_for_field,enrolled
L-WRL-114-9220,FA000086,"QUANTUM 1.25"" MEMORY PIEZO GAUGE P/T 150C 0-10, 000 PSI",SLICKLINE,asset,S9220,"1 1/4""",,V00580,WIRELINE,ready_for_field,enrolled
L-WRL-114-9225,FA000087,"QUANTUM 1.25"" MEMORY PIEZO GAUGE P/T 150C 0-10, 000 PSI",SLICKLINE,asset,S9225,"1 1/4""",,V00580,WIRELINE,ready_for_field,enrolled
L-MWD-000-0153,FA000095,DIRECTIONAL MODULE MT RC2,MWD / VERTEX,asset,D153,,,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0154,FA000096,DIRECTIONAL MODULE MT RC2,MWD / VERTEX,asset,D154,,,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0874,FA000097,"PULSER , VERTEX RC2 FLOW THRU",MWD / VERTEX,asset,P874,,,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0875,FA000098,"PULSER , VERTEX RC2 FLOW THRU",MWD / VERTEX,asset,P875,,,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0436,FA000099,BATTERY MODULE RC2,MWD / VERTEX,asset,B436,,,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0437,FA000100,BATTERY MODULE RC2,MWD / VERTEX,asset,B437,,,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0438,FA000101,BATTERY MODULE RC2,MWD / VERTEX,asset,BB438,,,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-000-0439,FA000102,BATTERY MODULE RC2,MWD / VERTEX,asset,B439,,,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-000-2312,FA000104,KIT WINC RFD,MWD / VERTEX,asset,89231VTX2,,,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-000-1477,FA000105,PRESSURE TRANSDUCER KIT SENSOR,MWD / VERTEX,asset,171496  171477,,,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-000-1698,FA000107,PROGRAM & TEST KIT,MWD / VERTEX,asset,"ITI0150,FSM260 ITI0193,1698",,,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-912-9007,FA000108,"9 1/2"" NM UBHO SUB VERTEX",NM UBHO,asset,LDC-405-9007,"9 1/2""",,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-912-9008,FA000109,"9 1/2"" NM UBHO SUB VERTEX",NM UBHO,asset,LDC-405-9008,"9 1/2""",,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-800-8005,FA000110,"8"" NM UBHO SUB VERTEX",NM UBHO,asset,LDC-405-8005,"8""",,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-800-8006,FA000111,"8"" NM UBHO SUB VERTEX",NM UBHO,asset,LDC-405-8006,"8""",,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-634-6003,FA000112,"6 3/4"" NM UBHO SUB VERTEX",NM UBHO,asset,LDC-405-6003,"6 3/4""",,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-634-6004,FA000113,"6 3/4"" NM UBHO SUB VERTEX",NM UBHO,asset,LDC-405-6004,"6 3/4""",,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-434-4001,FA000114,"4 3/4"" NM UBHO SUB VERTEX",NM UBHO,asset,LDC-405-4001,"4 3/4""",,V00560,MWD/LWD,ready_for_field,enrolled
L-MWD-434-4002,FA000115,"4 3/4"" NM UBHO SUB VERTEX",NM UBHO,asset,LDC-405-4002,"4 3/4""",,V00560,MWD/LWD,ready_for_field,enrolled
L-NMD-031-3601,FA000116,"6 3/4"" NMDC - 3 1/4"" ID",NMDC,asset,KW2936-01,"6 3/4""",,V0036,NMDC,ready_for_field,enrolled
L-NMD-031-3602,FA000117,"6 3/4"" NMDC - 3 1/4"" ID",NMDC,asset,KW2936-02,"6 3/4""",,V0036,NMDC,ready_for_field,enrolled
L-DHT-434-4733,FA000118,"4 3/4"" STEEL UBHO",UBHO,asset,0121047-33,"4 3/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-434-4732,FA000119,"4 3/4"" STEEL UBHO",UBHO,asset,0121047-32,"4 3/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-634-5321,FA000120,"6 3/4"" STEEL UBHO",UBHO,asset,1219853-21,"6 3/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-634-5322,FA000121,"6 3/4"" STEEL UBHO",UBHO,asset,1219853-22,"6 3/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-434-5318,FA000122,"4 3/4"" Float Sub (3 1/2"" IF BOX BORED _3 1/2 IF Valve) With SRG at Pin",FLOAT SUB,asset,1219853-18,"4 3/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-434-5317,FA000123,"4 3/4"" Float Sub (3 1/2"" IF BOX BORED _3 1/2 IF Valve) With SRG at Pin",FLOAT SUB,asset,1219853-17,"4 3/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-634-1088,FA000124,"6 3/4"" Float Sub (4 1/2"" IF PIN - 4 1/2"" IF BOX) With SRG at Pin",FLOAT SUB,asset,2016-0108-8,"6 3/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-634-1083,FA000125,"6 3/4"" Float Sub (4 1/2"" IF PIN - 4 1/2"" IF BOX) With SRG at Pin",FLOAT SUB,asset,2016-0108-3,"6 3/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-912-5312,FA000126,"9 5/8"" Float Sub (7 5/8 REG PIN - 7 5/8 REG BOX) With SRG at Pin",FLOAT SUB,asset,1219853-12,"9 5/8""",,V0036,DHT,ready_for_field,enrolled
L-DHT-912-6012,FA000127,"9 5/8"" Float Sub (7 5/8 REG PIN - 7 5/8 REG BOX) With SRG at Pin",FLOAT SUB,asset,KW2936-012,"9 5/8""",,V0036,DHT,ready_for_field,enrolled
L-DHT-600-2053,FA000128,"6"" Steel String Stabs",STB,asset,KW22102053,"6""",,V0036,DHT,ready_for_field,enrolled
L-DHT-600-2054,FA000129,"6"" Steel String Stabs",STB,asset,KW22102054,"6""",,V0036,DHT,ready_for_field,enrolled
L-DHT-214-1526,FA000130,"12 1/4"" Steel String Stabs",STB,asset,ST311526,"12 1/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-600-6465,FA000131,"16"" Steel String Stabs",STB,asset,SBD26465,"16""",,V0036,DHT,ready_for_field,enrolled
L-DHT-738-0303,FA000132,"17 3/8"" Steel String Stabs",STB,asset,230803-03,"17 3/8""",,V0036,DHT,ready_for_field,enrolled
L-DHT-178-6903,FA000133,"11 7/8"" Steel String Stabs",STB,asset,0522069-03,"11 7/8""",,V0036,DHT,ready_for_field,enrolled
L-DHT-116-5537,FA000134,"8 1/16"" Steel String Stabs",STB,asset,KW2205537,"8 1/16""",,V0036,DHT,ready_for_field,enrolled
L-DHT-116-6906,FA000135,"8 1/16"" Steel String Stabs",STB,asset,0522069-06,"8 1/16""",,V0036,DHT,ready_for_field,enrolled
L-DHT-312-3608,FA000136,"3 1/2"" IF float valve",FLOAT VALVE,asset,KW2936-08,"3 1/2""",,V0036,DHT,ready_for_field,enrolled
L-DHT-312-3605,FA000137,"3 1/2"" IF float valve",FLOAT VALVE,asset,KW2936-05,"3 1/2""",,V0036,DHT,ready_for_field,enrolled
L-DHT-634-3604,FA000138,"float valve 4R for the 6 3/4"" float sub-Plunger type",FLOAT VALVE,asset,KW2936-04,"6 3/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-634-3606,FA000139,"Float valve 4R for the 6 3/4"" float sub-Plunger type",FLOAT VALVE,asset,KW2936-06,"6 3/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-634-4716,FA000140,"Float valve 5R for the 6 3/4"" float sub-Plunger type",FLOAT VALVE,asset,10121047-16,"6 3/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-634-4710,FA000141,"Float valve 5R for the 6 3/4"" float sub-Plunger type",FLOAT VALVE,asset,10121047-10,"6 3/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-814-4722,FA000142,"Float valve 5F-6R for 8 1/4"" and 9 1/2"" float subs Plunger type",FLOAT VALVE,asset,10121047-22,,,V0036,DHT,ready_for_field,enrolled
L-DHT-814-4723,FA000143,"Float valve 5f-6R for 8 1/4"" and 9 1/2"" float subs Plunger type",FLOAT VALVE,asset,10121047-23,,,V0036,DHT,ready_for_field,enrolled
L-DHT-814-0011,FA000144,"8 1/4"" Float Sub (6 5/8 REG PIN - 6 5/8 REG BOX) With SRG at Pin",FLOAT SUB,asset,NAF-11,"8 1/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-814-0012,FA000145,"8 1/4"" Float Sub (6 5/8 REG PIN - 6 5/8 REG BOX) With SRG at Pin",FLOAT SUB,asset,NAF-12,"8 1/4""",,V0036,DHT,ready_for_field,enrolled
L-DHT-712-0014,FA000146,"17 1/2"" Roller Reamer Body String Type",ROLLER REAMER,asset,RR-174-0014,"17 1/2""",,V00610,DHT,ready_for_field,enrolled
L-DHT-712-0015,FA000147,"17 1/2"" Roller Reamer Body String Type",ROLLER REAMER,asset,RR-174-0015,"17 1/2""",,V00610,DHT,ready_for_field,enrolled
L-DHT-214-0091,FA000148,"12 1/4"" Roller Reamer Body String Type",ROLLER REAMER,asset,RR-122-0091,"12 1/4""",,V00610,DHT,ready_for_field,enrolled
L-DHT-214-0089,FA000149,"12 1/4"" Roller Reamer Body String Type",ROLLER REAMER,asset,RR-122-0089,"12 1/4""",,V00610,DHT,ready_for_field,enrolled
L-DHT-812-0088,FA000150,"8 1/2"" Roller Reamer Body String Type",ROLLER REAMER,asset,RR-84-0088,"8 1/2""",,V00610,DHT,ready_for_field,enrolled
L-DHT-812-0089,FA000151,"8 1/2"" Roller Reamer Body String Type",ROLLER REAMER,asset,RR-84-0089,"8 1/2""",,V00610,DHT,ready_for_field,enrolled
L-DHT-834-0572,FA000152,"8 3/4"" RR Bi Directional Cartridge Set",ROLLER REAMER,asset,CT-86B-D0572,"8 3/4""",,V00610,DHT,ready_for_field,enrolled
L-DHT-834-0573,FA000153,"8 3/4"" RR Bi Directional Cartridge Set",ROLLER REAMER,asset,CT-86B-D0573,"8 3/4""",,V00610,DHT,ready_for_field,enrolled
L-DHT-812-0575,FA000154,"8 1/2"" RR Bi Directional Cartridge Set",ROLLER REAMER,asset,CT-84B-D0575,"8 1/2""",,V00610,DHT,ready_for_field,enrolled
L-DHT-812-0576,FA000155,"8 1/2"" RR Bi Directional Cartridge Set",ROLLER REAMER,asset,CT-84B-D0576,"8 1/2""",,V00610,DHT,scraped,enrolled
L-DHT-712-0582,FA000156,"17 1/2"" RR Bi Directional Cartridge Set",ROLLER REAMER,asset,CT-160B-D0582,"17 1/2""",,V00610,DHT,ready_for_field,enrolled
L-DHT-712-0583,FA000157,"17 1/2"" RR Bi Directional Cartridge Set",ROLLER REAMER,asset,CT-160B-D0583,"17 1/2""",,V00610,DHT,ready_for_field,enrolled
L-MEQ-000-8025,FA000158,Hydraulic Breakout Machine,MACHINE,asset,8025 TM,,,V00590,MACHEQ,ready_for_field,enrolled
L-DHT-814-9001,FA000159,"8 1/4"" Circulation SUB",CIRCULATION SUB,asset,230989001,"8 1/4""",,V00180,DHT,ready_for_field,enrolled
L-NMD-634-5912,FA000160,"6 3/4"" NMDC",NMDC,asset,PST5912,"6 3/4""",,V00190,NMDC,ready_for_field,enrolled
L-NMD-634-5913,FA000161,"6 3/4"" NMDC",NMDC,asset,PST5913,"6 3/4""",,V00190,NMDC,ready_for_field,enrolled
L-NMD-800-4489,FA000162,"8"" NMDC",NMDC,asset,PST4489,"8""",,V00190,NMDC,ready_for_field,enrolled
L-NMD-800-5925,FA000163,"8"" NMDC",NMDC,asset,PST5925,"8""",,V00190,NMDC,ready_for_field,enrolled
L-NMD-634-2134,FA000164,"6 3/4"" NMDC",NMDC,asset,PST2134,"6 3/4""",,V00190,NMDC,ready_for_field,enrolled
